team,fullName
bos,"Boston Celtics"
bkn,"Brooklyn Nets"
ny,"New York Knicks"
phi,"Philadelphia 76ers"
tor,"Toronto Raptors"
gs,"Golden State Warriors"
lac,"Los Angeles Clippers"
lal,"Los Angeles Lakers"
phx,"Phoenix Suns"
sac,"Sacramento Kings"
chi,"Chicago Bulls"
cle,"Cleveland Cavaliers"
det,"Detroit Pistons"
ind,"Indiana Pacers"
mil,"Milwaukee Bucks"
dal,"Dallas Mavericks"
hou,"Houston Rockets"
mem,"Memphis Grizzlies"
no,"New Orleans Pelicans"
sa,"San Antonio Spurs"
atl,"Atlanta Hawks"
cha,"Charlotte Hornets"
mia,"Miami Heat"
orl,"Orlando Magic"
wsh,"Washington Wizards"
den,"Denver Nuggets"
min,"Minnesota Timberwolves"
okc,"Oklahoma City Thunder"
por,"Portland Trail Blazers"
utah,"Utah Jazz"
