Year,Home Baseline,Logistic Regression,Decision Tree,Extra Tree Classifier,Random Forest,Gradient Booster,SVM (Radial Basis Kernel),SVM (Linear Kernel),Naïve Bayes
2008,0.608838,,,,,,,,
2009,0.594309,0.656910569,0.548780488,0.591056911,0.635772358,0.633333333,0.633333333,0.650406504,0.668292683
2010,0.604065,0.684552846,0.522764228,0.582926829,0.556910569,0.586178862,0.56097561,0.674796748,0.682926829
2011,0.585859,0.660606061,0.556565657,0.572727273,0.642424242,0.656565657,0.660606061,0.664646465,0.675757576
2012,0.61188,0.684296176,0.582587469,0.615134255,0.630593979,0.644426363,0.672904801,0.67371847,0.643612693
2013,0.580488,0.639837398,0.534146341,0.543902439,0.608943089,0.617886179,0.608130081,0.641463415,0.638211382
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
