"","means","ses"
"mia",62.268,3.11927970946914
"bos",43.322,3.40850904853338
"wsh",36.411,3.29133892388978
"mil",50,3.54324068538316
"chi",44.659,3.52095386452537
"bkn",1.295,1.07570076328509
"det",30.189,3.48071751143272
"orl",23.592,3.22427231044959
"phi",27.848,3.3526312257891
"hou",42.036,3.42672532404429
"sa",60.246,3.27111360001211
"lac",60.122,3.41859661305671
"gs",31.456,3.48916010498777
"sac",24.366,3.37334009898549
"atl",60.811,3.22019388370462
"ny",62.703,3.24273130343948
"cle",16.425,2.97409149493088
"tor",42.831,3.80169592312324
"cha",13.111,2.87766571372701
"den",64.477,3.1609274687127
"lal",65.631,3.20204498595696
"phx",26.205,3.54761336119941
"por",31.946,3.74875141042149
"utah",38.329,3.73372464165472
"ind",47.243,3.63278793052225
"okc",62.431,3.56706643657824
"no",39.586,3.62487844537493
"dal",38.838,3.63165870435879
"mem",53.96,3.57843613960138
"min",26.663,3.43704004111739
